"Reference","Species","Trait","Garden","Range","PC1SD","LatSD"
"Meyer et al. (2005)","Solidago gigantea","reproduction",2,"N",1.111760489,1.858751373
"Schlaepfer et al. (2010)","Solidago gigantea","reproduction",2,"N",1.700139673,4.128696727
"Bossdorf et al. (2004 - Divers Distrib)","Alliaria petiolata","size",2,"N",0.671390004,3.688016175
"Williams et al. (2008)","Cynoglossum officinale","size",2,"N",1.215909835,2.505230399
"Leger and Rice (2003)","Eschscholzia californica","size",2,"N",1.487907893,1.481643601
"Maron et al. (2004)","Hypericum perforatum","size",2,"N",1.228564876,3.558507311
"Willis et al. (1999)","Lythrum salicaria","size",2,"N",1.713394775,6.250339249
"Ross and Auge (2008)","Mahonia aquifolium","size",2,"N",2.182252682,2.146896986
"Franks et al. (2007)","Melaleuca quinquenervia","size",2,"N",1.260300183,5.741098304
"van Kleunen and Fischer (2008)","Mimulus guttatus","size",2,"N",1.40761817,5.81212298
"Erfmeier and Bruelheide (2005)","Rhododendron ponticum","size",2,"N",1.645407238,2.768186181
"Bossdorf et al. (2008)","Senecio inaequidens","size",2,"N",1.256885174,1.87714887
"Joshi and Vrieling (2005)","Senecio jacobaea","size",2,"N",1.02042997,2.933012803
"Cano et al. (2008)","Senecio pterophorus","size",2,"N",1.181078219,1.2025051
"Wolfe et al. (2004)","Silene latifolia","size",2,"N",1.09774943,7.436914166
"van Kleunen and Schmid (2003)","Solidago canadensis","size",2,"N",1.035255225,1.81310388
"Meyer et al. (2005)","Solidago gigantea","size",2,"N",1.140500664,1.858751373
"Schlaepfer et al. (2010)","Solidago gigantea","size",2,"N",2.141299284,4.128696727
"Schlaepfer et al. (2010)","Solidago gigantea","survival",2,"N",1.091225034,4.128696727
"Erfmeier and Bruelheide (2005)","Rhododendron ponticum","growth",3,"N",1.428477653,2.768186181
"Schlaepfer et al. (2010)","Solidago gigantea","growth",3,"N",0.568016562,4.128696727
"Cano et al. (2008)","Senecio pterophorus","physiology",3,"N",1.10364367,1.2025051
"Schlaepfer et al. (2010)","Solidago gigantea","physiology",3,"N",1.25562678,4.128696727
"Bossdorf et al. (2004 - Divers Distrib)","Alliaria petiolata","reproduction",3,"N",0.834260998,3.17287195
"Maron et al. (2004)","Hypericum perforatum","reproduction",3,"N",1.004224864,4.057857125
"Cano et al. (2008)","Senecio pterophorus","reproduction",3,"N",0.41236335,1.2025051
"Schlaepfer et al. (2010)","Solidago gigantea","reproduction",3,"N",1.192748216,4.128696727
